,Borough,SchoolNumber,School Name,Neighborhood
0,Manhattan,PS 1,Alfred F. Smith,Two Bridges
1,Manhattan,PS 11,William T. Harris,Chelsea
2,Manhattan,PS 15,Roberto Clemente,East Village
3,Manhattan,PS 18,Park Terrace,Inwood
4,Manhattan,PS 19,Asher Levy,East Village
5,Manhattan,PS 20,Anna Silver,Lower East Side
6,Manhattan,PS MS 34,Franklin D. Roosevelt,Lower East Side
7,Manhattan,PS 41,Greenwich Village School,Greenwich Village
8,Manhattan,PS 63,S.T.A.R. Academy (Formerly William McKinley),Lower East Side
9,Manhattan,PS 64,Robert Simon,East Village
10,Manhattan,PS 84,Lillian Weber,Upper West Side
11,Manhattan,PS 102,Jaquees Charter School,East Harlem
12,Manhattan,PS 108,School of Authors,East Harlem
13,Manhattan,PS 110,Florence Nightingale,Lower East Side
14,Manhattan,PS 111,Adolph S. Ochs,Hell's Kitchen
15,Manhattan,PS 112,Jose Celso Barbosa,East Harlem
16,Manhattan,PS 115,Alexander Humboldt,Washington Heights
17,Manhattan,PS 116,Mary Lindley Murray,Kips Bay
18,Manhattan,PS 125,Ralph Bunche,Harlem
19,Manhattan,PS 126,Jacob August Riis,Two Bridges
20,Manhattan,PS 128,Audubon,Washington Heights
21,Manhattan,PS 129,John H. Finley,Harlem
22,Manhattan,PS 130,Hernando De Soto,Little Italy
23,Manhattan,PS 132,Juan Pablo Duarte,Fort George
24,Manhattan,PS 134,Henrietta Szold,Lower East Side
25,Manhattan,PS 140,Nathan Straus,Lower East Side
26,Manhattan,PS 142,Amalia Castro,Lower East Side
27,Manhattan,PS 145,The Bloomingdale School,Manhattan Valley
28,Manhattan,PS 146,Anna M. Short,East Harlem
29,Manhattan,PS 150,Tribeca Learning Center,Tribeca
30,Manhattan,PS 152,Dyckman Valley School,Fort George
31,Manhattan,PS 153,Adam Clayton Powell,Hamilton Heights
32,Manhattan,PS 154,The Harriet Tubman Learning Center,Harlem
33,Manhattan,PS 155,William Paca,East Harlem
34,Manhattan,PS 158,Bayard Taylor,Upper East Side
35,Manhattan,PS 161,Pedro Albizu Campos,West Harlem
36,Manhattan,PS 163,Alfred B. Smith,Manhattan Valley
37,Manhattan,PS 165,Robert E. Simon,Manhattan Valley
38,Manhattan,PS 166,The Richard Rogers School of the Arts and Technology,Upper West Side
39,Manhattan,PS 171,Patrick Henry Preparatory School,East Harlem
40,Manhattan,PS 173,,Washington Heights
41,Manhattan,PS 175,Henry H. Garnet,Harlem
42,Manhattan,PS 178,Juan Bosch,Inwood
43,Manhattan,PS 180,Hugo Newman,Harlem
44,Manhattan,PS 182,The Bilingual Bicultural School,East Harlem
45,Manhattan,PS 183,Robert Louis Stevenson,Upper East Side
46,Manhattan,PS MS 184,Shuang Wen School,Lower East Side
47,Manhattan,PS 185,The Locke School of Arts and Engineering,Harlem
48,Manhattan,PS 188,Island School,Lower East Side
49,Manhattan,PS 189,,Washington Heights
50,Manhattan,PS 315,East Village Community,Lower East Side
51,Manhattan,PS 361,Children’s Workshop School,Lower East Side
52,Manhattan,PS 363,Neighborhood School,East Village
53,Manhattan,PS 364,Earth School,Lower East Side
54,Manhattan,PS 452,,Upper West Side
55,Manhattan,PS 527,East Side School for Social Action,"Yorkville, Manhattan"
56,Region 1: The Bronx[edit],PS 2,Morrisania,Morrisania
57,Region 1: The Bronx[edit],PS 7,Kingsbridge,Kingsbridge
58,Region 1: The Bronx[edit],PS 8,Isaac Varian,Norwood
59,Region 1: The Bronx[edit],PS 9,Ryer Avenue Elementary School,Fordham
60,Region 1: The Bronx[edit],PS 11,Highbridge School,Highbridge
61,Region 1: The Bronx[edit],PS 15,Institute for Environmental Learning,University Heights
62,Region 1: The Bronx[edit],PS 21,Philip Sheridan,Wakefield
63,Region 1: The Bronx[edit],PS 24,Spuyten Duyvil,Spuyten Duyvil
64,Region 1: The Bronx[edit],PS 28,Mount Hope,Mount Hope
65,Region 1: The Bronx[edit],PS 32,Belmont,Belmont
66,Region 1: The Bronx[edit],PS 33,Timothy Dwight,University Heights
67,Region 1: The Bronx[edit],PS 37,Multiple Intelligence School,Kingsbridge
68,Region 1: The Bronx[edit],PS 46,Edgar Allan Poe,Fordham
69,Region 1: The Bronx[edit],PS 51,Bronx New School,Belmont
70,Region 1: The Bronx[edit],PS 53,Basheer Quisim,Morrisania
71,Region 1: The Bronx[edit],PS/IS 54,,Fordham
72,Region 1: The Bronx[edit],PS 55,Benjamin Franklin,Morrisania
73,Region 1: The Bronx[edit],PS 56,Norwood Heights,Norwood
74,Region 1: The Bronx[edit],PS 58,,Morrisania
75,Region 1: The Bronx[edit],PS 59,,Fordham
76,Region 1: The Bronx[edit],PS 63,Author’s Academy,Morrisania
77,Region 1: The Bronx[edit],PS 64,Pura Belpre,Mount Eden
78,Region 1: The Bronx[edit],PS 70,Max Schoenfeld,Border of Mount Eden & Mount Hope
79,Region 1: The Bronx[edit],PS 73,Bronx,Highbridge
80,Region 1: The Bronx[edit],PS 79 (closed in 2007),Creston,Fordham
81,Region 1: The Bronx[edit],PS 81,Robert J. Christen,North Riverdale
82,Region 1: The Bronx[edit],PS 85,Great Expectations,Fordham
83,Region 1: The Bronx[edit],PS 90,George Meany,Concourse
84,Region 1: The Bronx[edit],PS 91,Bronx,University Heights
85,Region 1: The Bronx[edit],PS 94,Kings College School,Norwood
86,Region 1: The Bronx[edit],PS 109,Sedgwick,Morris Heights
87,Region 1: The Bronx[edit],PS 110,Theodore Schoenfeld,Morrisania
88,Region 1: The Bronx[edit],PS 126,Dr Marjorie H Dunbar,Highbridge
89,Region 1: The Bronx[edit],PS 128,Mott Hall III,Morrisania
90,Region 1: The Bronx[edit],PS 132,Garrett A Morgan,Morrisania
91,Region 1: The Bronx[edit],PS 159,Luis Munoz Marin,Fordham
