,Institution ID,Legal Name,Popular Name,SED Code,INST Type Code,INST Type Description,INST Sub Type Code,INST Sub Type Description,County Code,County Description,Physical Address Line1,Physical Address Line2,Physical City,Physical State Code,Physical Zipcd5,Mailing Address Line1,Mailing Address Line2,Mailing City,Mailing State Code,Mailing Zipcd5,CEO Salutation,CEO FName,CEO LName,CEO Title,CEO email,CEO Phone,CEO Phone Extension,Grade Organization Code,Grade Organization Description,Grade Pre-K,Grade Half K,Grade Full K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade Ungraded Elementary,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade Ungraded Secondary
0,-800000090834,HELLENIC CLASSICAL CHARTER SCHOOL - STATEN ISLAND,HELLENIC CLASSICAL CS -STATEN ISLAND,353100861175,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,35,RICHMOND,1641 RICHMOND AVE,,STATEN ISLAND,NY,10314,1641 RICHMOND AVE,,STATEN ISLAND,NY,10314,MS.,CHRISTINA,TETTONIS,SUPERINTENDENT,ctettonis@hccs-nys.org,(718)499-0957,200,1,Elementary,,,Y,Y,Y,,,,,,,,,,,,
1,-800000059005,SMILES AROUND US ACADEMY,SMILES AROUND US ACADEMY,353100995152,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,35,RICHMOND,351 SAND LN,,STATEN ISLAND,NY,10305,351 SAND LN,,STATEN ISLAND,NY,10305,MS.,GABRIELE,KAZAKEVICH,PRINCIPAL,administration@southfieldinstitute.com,(718)390-0070,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,
2,-800000091532,"EDEN II SCHOOL FOR AUTISTIC CHILDREN, INC. LITTLE MIRACLES",EDEN II - LITTLE MIRACLES,353100996532,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,35,RICHMOND,309 ST  PAUL'S AVE,,STATEN ISLAND,NY,10304,309 ST  PAUL'S AVE,,STATEN ISLAND,NY,10304,MS.,LAUREN,GRIMALDI,DIRECTOR,lrinaldi@eden2.org,(718)727-8202,,8,Not Available,,,,,,,,,,,,,,,,,
3,-800000091977,EDEN II SCHOOL FOR AUTISTIC CHILDREN - MANOR ROAD,EDEN II - MANOR ROAD,353100996570,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,35,RICHMOND,663 MANOR RD,,STATEN ISLAND,NY,10314,663 MANOR RD,,STATEN ISLAND,NY,10314,DR.,JOANNE,GERENSER,EXECUTIVE DIRECTOR,jgerenser@eden2.org,(718)816-1422,1006,8,Not Available,,,,,,,,,,,,,,,,,
4,-800000041775,STATEN ISLAND ACADEMY,STATEN ISLAND ACADEMY,353100997022,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,35,RICHMOND,715 TODT HILL RD,,STATEN ISLAND,NY,10304,715 TODT HILL RD,,STATEN ISLAND,NY,10304,MR.,ALBERT,CAUZ,HEAD OF SCHOOL,acauz@statenislandacademy.org,(718)987-8100,865,6,K-12,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,
5,-800000041766,EDEN II SCHOOL FOR AUTISTIC CHILDREN,EDEN II SCH FOR AUTISTIC CHLDRN,353100998212,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,35,RICHMOND,15 BEACH ST,,STATEN ISLAND,NY,10304,15 BEACH ST,,STATEN ISLAND,NY,10304,DR.,JOANNE,GERENSER,EXECUTIVE DIRECTOR,jgerenser@eden2.org,(718)816-1422,1006,7,Special,,,,,,,,,,Y,,,,,,,Y
6,-800000041728,PRIMARY EDUCATION CENTER,PRIMARY EDUCATION CENTER,400301060002,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,40,NIAGARA,4061 CREEK RD,,YOUNGSTOWN,NY,14174,4061 CREEK RD,,YOUNGSTOWN,NY,14174,MS.,TAMARA,LARSON,PRINCIPAL,tlarson@lew-port.com,(716)286-7220,,1,Elementary,,,Y,Y,Y,Y,,,,Y,,,,,,,
7,-800000041716,INTERMEDIATE EDUCATION CENTER,INTERMEDIATE EDUCATION CENTER,400301060003,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,40,NIAGARA,4061 CREEK RD,,YOUNGSTOWN,NY,14174,4061 CREEK RD,,YOUNGSTOWN,NY,14174,MS.,TINA,RODRIGUEZ,PRINCIPAL,trodriguez@lew-port.com,(716)286-7252,,1,Elementary,,,,,,Y,Y,Y,,Y,,,,,,,
8,-800000041737,LEWISTON PORTER MIDDLE SCHOOL,LEWISTON PORTER MIDDLE SCHOOL,400301060005,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,40,NIAGARA,4061 CREEK RD,,YOUNGSTOWN,NY,14174,4061 CREEK RD,,YOUNGSTOWN,NY,14174,MR.,ANDREW,AUER,PRINCIPAL,aauer@lew-port.com,(716)286-7201,,2,Middle,,,,,,,,,Y,Y,Y,Y,,,,,Y
9,-800000041738,LEWISTON PORTER SENIOR HIGH SCHOOL,LEWISTON PORTER SENIOR HIGH SCHOOL,400301060006,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,40,NIAGARA,4061 CREEK RD,,YOUNGSTOWN,NY,14174,4061 CREEK RD,,YOUNGSTOWN,NY,14174,MR.,BRADLEY,ROWLES,PRINCIPAL,browles@lew-port.com,(716)286-7263,,5,Senior High,,,,,,,,,,,,,Y,Y,Y,Y,Y
10,-800000041722,STELLA NIAGARA EDUCATION PARK,STELLA NIAGARA EDUC PARK,400301136253,14,NON-PUBLIC SCHOOLS,10,ROMAN CATHOLIC BUFFALO DIOCESE,40,NIAGARA,4421 LOWER RIVER RD,,STELLA NIAGARA,NY,14144,4421 LOWER RIVER RD,,STELLA NIAGARA,NY,14144,SISTER,MARGARET,SULLIVAN,DIRECTOR,srmargaret@stella-niagara.com,(716)754-4314,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
11,-800000041723,SAINT PETER SCHOOL,ST PETER SCHOOL,400301136456,14,NON-PUBLIC SCHOOLS,10,ROMAN CATHOLIC BUFFALO DIOCESE,40,NIAGARA,140 N 6TH ST,,LEWISTON,NY,14092,140 N 6TH ST,,LEWISTON,NY,14092,MS.,MAUREEN,INGHAM,PRINCIPAL,mingham@stpeterrc.org,(716)754-4470,,1,Elementary,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
12,-800000041724,SACRED HEART VILLA SCHOOL,SACRED HEART VILLA SCHOOL,400301137225,14,NON-PUBLIC SCHOOLS,10,ROMAN CATHOLIC BUFFALO DIOCESE,40,NIAGARA,5269 LEWISTON RD,,LEWISTON,NY,14092,5269 LEWISTON RD,,LEWISTON,NY,14092,SISTER,GRACE,DIKE,PRINCIPAL,shvillaschool@gmail.com,(716)284-8273,,1,Elementary,Y,,Y,Y,Y,Y,,,,,,,,,,,
13,-800000041704,ANNA MERRITT ELEMENTARY SCHOOL,ANNA MERRITT ELEMENTARY SCHOOL,400400010001,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,389 GREEN ST,,LOCKPORT,NY,14094,389 GREEN ST,,LOCKPORT,NY,14094,MS.,PATRICIA,MCMAHON,PRINCIPAL,pmcmahon@lockportschools.net,(716)478-4727,,1,Elementary,,,Y,Y,Y,Y,Y,,,,,,,,,,
14,-800000041705,CHARLES A UPSON ELEMENTARY SCHOOL,CHARLES A UPSON ELEMENTARY SCHOOL,400400010002,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,28 HARDING AVE,,LOCKPORT,NY,14094,28 HARDING AVE,,LOCKPORT,NY,14094,MRS.,JENNIFER,GILSON,PRINCIPAL,jgilson@lockportschools.net,(716)478-4401,,1,Elementary,,,Y,Y,Y,Y,Y,,,,,,,,,,
15,-800000041719,GEORGE SOUTHARD ELEMENTARY SCHOOL,GEORGE SOUTHARD ELEMENTARY SCHOOL,400400010005,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,6385 LOCUST ST EXT,,LOCKPORT,NY,14094,6385 LOCUST EXT,,LOCKPORT,NY,14094,MS.,DEANNA,SCHMITT,PRINCIPAL,dschmitt@lockportschools.net,(716)478-4785,,1,Elementary,,,Y,Y,Y,Y,Y,,,Y,,,,,,,
16,-800000041707,ROY KELLEY ELEMENTARY SCHOOL,ROY KELLEY ELEMENTARY SCHOOL,400400010007,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,610 12 E HIGH ST,,LOCKPORT,NY,14094,610 12 E HIGH ST,,LOCKPORT,NY,14094,MRS.,HEATHER,WALTON,PRINCIPAL,hwalton@lockportschools.net,(716)478-4680,,1,Elementary,,,Y,Y,Y,Y,Y,,,,,,,,,,
17,-800000041709,EMMET BELKNAP INTERMEDIATE SCHOOL,EMMET BELKNAP INTERMEDIATE SCHOOL,400400010009,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,491 HIGH ST,,LOCKPORT,NY,14094,491 HIGH ST,,LOCKPORT,NY,14094,MR.,PAUL,KOWALSKI,PRINCIPAL,pkowalski@lockportschools.net,(716)478-4560,,1,Elementary,,,,,,,,Y,Y,Y,,,,,,,
18,-800000041710,AARON MOSSELL JUNIOR HIGH SCHOOL,AARON MOSSELL JUNIOR HIGH SCHOOL,400400010010,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,40,NIAGARA,160 PASSAIC AVE,,LOCKPORT,NY,14094,160 PASSAIC AVE,,LOCKPORT,NY,14094,DR.,BERNADETTE,SMITH,PRINCIPAL,bsmith@lockportschools.net,(716)478-4722,,3,Junior High,,,,,,,,,,,Y,Y,,,,,Y
