,Borough,School_Num,School_Year,Indicator_1.1,Indicator_1.2,Indicator_2.2,Indicator_3.4,Indicator_4.2
0,M,307,2005-06,3.0,3.0,4.0,4.0,4.0
1,M,459,2005-06,3.0,3.0,3.0,4.0,3.0
2,M,560,2005-06,4.0,4.0,4.0,4.0,4.0
3,M,294,2005-06,4.0,4.0,4.0,4.0,4.0
4,M,299,2005-06,3.0,3.0,3.0,3.0,3.0
5,M,407,2005-06,4.0,4.0,4.0,4.0,4.0
6,M,519,2005-06,3.0,3.0,4.0,4.0,4.0
7,M,304,2005-06,3.0,3.0,3.0,4.0,4.0
8,M,449,2005-06,4.0,4.0,4.0,4.0,4.0
9,M,570,2005-06,3.0,3.0,3.0,4.0,3.0
10,M,696,2005-06,3.0,3.0,4.0,4.0,4.0
11,K,544,2005-06,3.0,3.0,3.0,4.0,4.0
12,K,337,2005-06,3.0,3.0,3.0,3.0,3.0
13,K,685,2005-06,4.0,4.0,4.0,4.0,4.0
14,M,479,2005-06,3.0,3.0,4.0,4.0,4.0
15,Q,263,2005-06,4.0,4.0,4.0,4.0,4.0
16,Q,560,2005-06,3.0,3.0,1.0,3.0,1.0
17,K,524,2005-06,3.0,3.0,3.0,3.0,3.0
18,K,533,2005-06,3.0,3.0,3.0,3.0,3.0
19,X,231,2005-06,3.0,3.0,3.0,3.0,3.0
20,X,269,2005-06,1.0,1.0,1.0,3.0,3.0
21,Q,530,2005-06,4.0,4.0,4.0,4.0,4.0
22,X,265,2005-06,4.0,4.0,4.0,4.0,4.0
23,X,530,2005-06,1.0,1.0,1.0,3.0,1.0
24,X,682,2005-06,3.0,3.0,4.0,4.0,4.0
25,K,330,2005-06,1.0,1.0,3.0,3.0,3.0
26,K,546,2005-06,3.0,3.0,3.0,3.0,4.0
27,M,050,2005-06,1.0,1.0,1.0,1.0,3.0
28,M,497,2005-06,3.0,3.0,3.0,3.0,3.0
29,Q,580,2005-06,1.0,1.0,3.0,4.0,4.0
30,X,239,2005-06,3.0,3.0,3.0,3.0,3.0
31,X,286,2005-06,1.0,1.0,1.0,3.0,1.0
32,K,350,2005-06,1.0,1.0,3.0,3.0,3.0
33,K,697,2005-06,3.0,3.0,4.0,4.0,4.0
34,M,199,2005-06,4.0,4.0,4.0,4.0,4.0
35,M,313,2005-06,1.0,1.0,3.0,3.0,3.0
36,Q,135,2005-06,1.0,1.0,3.0,3.0,3.0
37,Q,196,2005-06,4.0,4.0,4.0,4.0,4.0
38,X,331,2005-06,3.0,3.0,3.0,4.0,4.0
39,K,101,2005-06,3.0,3.0,4.0,4.0,4.0
40,Q,093,2005-06,4.0,4.0,4.0,4.0,4.0
41,Q,109,2005-06,3.0,3.0,3.0,3.0,4.0
42,X,248,2005-06,4.0,4.0,1.0,3.0,4.0
43,X,278,2005-06,3.0,3.0,4.0,4.0,4.0
44,X,477,2005-06,4.0,4.0,4.0,4.0,4.0
45,X,548,2005-06,4.0,4.0,3.0,3.0,4.0
46,K,670,2005-06,4.0,4.0,4.0,4.0,4.0
47,K,336,2005-06,3.0,3.0,3.0,4.0,3.0
48,K,485,2005-06,3.0,3.0,3.0,3.0,4.0
